"shop_country_asin_date","country","asin","shop","date","old_type","new_type","old_coefficient","new_coefficient","old_base_sales","new_base_sales","old_weighted_sales","new_weighted_sales","old_maybe_sales","new_maybe_sales"
"卓别_FR_B0GRB39S7G_20260518","FR","B0GRB39S7G","卓别","2026-05-18","日常","日常","1","1","3","2","1.5","1.5","2","2"
"卓别_FR_B0GRB39S7G_20260519","FR","B0GRB39S7G","卓别","2026-05-19","日常","日常","1","1","2","1","1.6","1.5","2","2"
"卓别_FR_B0GRB39S7G_20260520","FR","B0GRB39S7G","卓别","2026-05-20","日常","日常","1","1","1","1","1.7","1.5","2","2"
"卓别_FR_B0GRB39S7G_20260521","FR","B0GRB39S7G","卓别","2026-05-21","日常","日常","1","1","2","2","1.5","1.3","2","1"
"卓别_FR_B0GRB39S7G_20260522","FR","B0GRB39S7G","卓别","2026-05-22","日常","日常","1","1","",,"1.5","1.4","2","1"
"卓别_FR_B0GRB39S7G_20260523","FR","B0GRB39S7G","卓别","2026-05-23","日常","日常","1","1","3","3","1.5","1.4","2","1"
"卓别_FR_B0GRB39S7G_20260524","FR","B0GRB39S7G","卓别","2026-05-24","日常","日常","1","1","2","2","1.7","1.5","2","2"
"卓别_FR_B0GRB39S7G_20260525","FR","B0GRB39S7G","卓别","2026-05-25","日常","日常","1","1","3","3","1.8","1.6","2","2"
"卓别_FR_B0GRB39S7G_20260526","FR","B0GRB39S7G","卓别","2026-05-26","日常","日常","1","1","",,"1.9","1.7","2","2"
"卓别_FR_B0GRB39S7G_20260527","FR","B0GRB39S7G","卓别","2026-05-27","日常","日常","1","1","1","1","1.9","1.7","2","2"
"卓别_FR_B0GRB39S7G_20260528","FR","B0GRB39S7G","卓别","2026-05-28","日常","日常","1","1","2","2","1.8","1.7","2","2"
"卓别_FR_B0GRB39S7G_20260531","FR","B0GRB39S7G","卓别","2026-05-31","日常","日常","1","1","1","1","1.8","1.7","2","2"
"卓别_FR_B0GRB39S7G_20260601","FR","B0GRB39S7G","卓别","2026-06-01","日常","日常","1","1","3","3","1.8","1.7","2","2"
"卓别_FR_B0GRB39S7G_20260604","FR","B0GRB39S7G","卓别","2026-06-04","日常","日常","1","1","",,"1.8","1.7","2","2"
"卓别_FR_B0GRB39S7G_20260605","FR","B0GRB39S7G","卓别","2026-06-05","日常","日常","1","1","2","2","1.8","1.7","2","2"
"卓别_FR_B0GRB39S7G_20260607","FR","B0GRB39S7G","卓别","2026-06-07","日常","日常","1","1","3","3","1.7","1.6","2","2"
"卓别_FR_B0GRB39S7G_20260609","FR","B0GRB39S7G","卓别","2026-06-09","旺季","旺季","1.2","1.2","2","2","1.8","1.7","2","2"
"卓别_FR_B0GRB39S7G_20260610","FR","B0GRB39S7G","卓别","2026-06-10","旺季","旺季","1.2","1.2","",,"1.8","1.7","2","2"
"卓别_FR_B0GRB39S7G_20260611","FR","B0GRB39S7G","卓别","2026-06-11","旺季","旺季","1.2","1.2","",,"1.8","1.7","2","2"
"卓别_FR_B0GRB39S7G_20260612","FR","B0GRB39S7G","卓别","2026-06-12","旺季","旺季","1.2","1.2","",,"1.8","1.7","2","2"
"卓别_FR_B0GRB39S7G_20260613","FR","B0GRB39S7G","卓别","2026-06-13","旺季","旺季","1.2","1.2","",,"1.9","1.8","2","2"
"卓别_FR_B0GRB39S7G_20260614","FR","B0GRB39S7G","卓别","2026-06-14","旺季","旺季","1.2","1.2","1","1","1.9","1.8","2","2"
"卓别_FR_B0GRB39S7G_20260615","FR","B0GRB39S7G","卓别","2026-06-15","旺季","旺季","1.2","1.2","",,"1.8","1.7","2","2"
"卓别_FR_B0GRB39S7G_20260616","FR","B0GRB39S7G","卓别","2026-06-16","旺季","旺季","1.2","1.2","",,"1.8","1.7","2","2"
"卓别_FR_B0GRB39S7G_20260617","FR","B0GRB39S7G","卓别","2026-06-17","旺季","旺季","1.2","1.2","",,"1.8","1.7","2","2"
"合计_FR_B0GRB39S7G_20260518","FR","B0GRB39S7G","合计","2026-05-18","日常","BD","1","1.7","3","2","1.5","1.5","2","3"
"合计_FR_B0GRB39S7G_20260519","FR","B0GRB39S7G","合计","2026-05-19","日常","BD","1","1.7","2","1","1.6","1.5","2","3"
"合计_FR_B0GRB39S7G_20260520","FR","B0GRB39S7G","合计","2026-05-20","日常","日常","1","1","1","1","1.7","1.5","2","2"
"合计_FR_B0GRB39S7G_20260521","FR","B0GRB39S7G","合计","2026-05-21","日常","日常","1","1","2","2","1.5","1.3","2","1"
"合计_FR_B0GRB39S7G_20260522","FR","B0GRB39S7G","合计","2026-05-22","日常","日常","1","1","",,"1.5","1.4","2","1"
"合计_FR_B0GRB39S7G_20260523","FR","B0GRB39S7G","合计","2026-05-23","日常","日常","1","1","3","3","1.5","1.4","2","1"
"合计_FR_B0GRB39S7G_20260524","FR","B0GRB39S7G","合计","2026-05-24","日常","日常","1","1","2","2","1.7","1.5","2","2"
"合计_FR_B0GRB39S7G_20260525","FR","B0GRB39S7G","合计","2026-05-25","日常","日常","1","1","3","3","1.8","1.6","2","2"
"合计_FR_B0GRB39S7G_20260526","FR","B0GRB39S7G","合计","2026-05-26","日常","日常","1","1","",,"1.9","1.7","2","2"
"合计_FR_B0GRB39S7G_20260527","FR","B0GRB39S7G","合计","2026-05-27","日常","日常","1","1","1","1","1.9","1.7","2","2"
"合计_FR_B0GRB39S7G_20260528","FR","B0GRB39S7G","合计","2026-05-28","日常","日常","1","1","2","2","1.8","1.7","2","2"
"合计_FR_B0GRB39S7G_20260531","FR","B0GRB39S7G","合计","2026-05-31","日常","日常","1","1","1","1","1.8","1.7","2","2"
"合计_FR_B0GRB39S7G_20260601","FR","B0GRB39S7G","合计","2026-06-01","日常","日常","1","1","3","3","1.8","1.7","2","2"
"合计_FR_B0GRB39S7G_20260604","FR","B0GRB39S7G","合计","2026-06-04","日常","日常","1","1","",,"1.8","1.7","2","2"
"合计_FR_B0GRB39S7G_20260605","FR","B0GRB39S7G","合计","2026-06-05","日常","日常","1","1","2","2","1.8","1.7","2","2"
"合计_FR_B0GRB39S7G_20260607","FR","B0GRB39S7G","合计","2026-06-07","日常","日常","1","1","3","3","1.7","1.6","2","2"
"合计_FR_B0GRB39S7G_20260609","FR","B0GRB39S7G","合计","2026-06-09","旺季","旺季","1.2","1.2","2","2","1.8","1.7","2","2"
"合计_FR_B0GRB39S7G_20260610","FR","B0GRB39S7G","合计","2026-06-10","旺季","旺季","1.2","1.2","",,"1.8","1.7","2","2"
"合计_FR_B0GRB39S7G_20260611","FR","B0GRB39S7G","合计","2026-06-11","旺季","旺季","1.2","1.2","",,"1.8","1.7","2","2"
"合计_FR_B0GRB39S7G_20260612","FR","B0GRB39S7G","合计","2026-06-12","旺季","旺季","1.2","1.2","",,"1.8","1.7","2","2"
"合计_FR_B0GRB39S7G_20260613","FR","B0GRB39S7G","合计","2026-06-13","旺季","旺季","1.2","1.2","",,"1.9","1.8","2","2"
"合计_FR_B0GRB39S7G_20260614","FR","B0GRB39S7G","合计","2026-06-14","旺季","旺季","1.2","1.2","1","1","1.9","1.8","2","2"
"合计_FR_B0GRB39S7G_20260615","FR","B0GRB39S7G","合计","2026-06-15","旺季","旺季","1.2","1.2","",,"1.8","1.7","2","2"
"合计_FR_B0GRB39S7G_20260616","FR","B0GRB39S7G","合计","2026-06-16","旺季","旺季","1.2","1.2","",,"1.8","1.7","2","2"
"合计_FR_B0GRB39S7G_20260617","FR","B0GRB39S7G","合计","2026-06-17","旺季","旺季","1.2","1.2","",,"1.8","1.7","2","2"
"詹慕斯_FR_B0GRB39S7G_20260518","FR","B0GRB39S7G","詹慕斯","2026-05-18","日常","BD","1","1.7","3","2","1.5","1.5","2","3"
"詹慕斯_FR_B0GRB39S7G_20260519","FR","B0GRB39S7G","詹慕斯","2026-05-19","日常","BD","1","1.7","2","1","1.6","1.5","2","3"
"詹慕斯_FR_B0GRB39S7G_20260520","FR","B0GRB39S7G","詹慕斯","2026-05-20","日常","日常","1","1","1","1","1.7","1.5","2","2"
"詹慕斯_FR_B0GRB39S7G_20260521","FR","B0GRB39S7G","詹慕斯","2026-05-21","日常","日常","1","1","2","2","1.5","1.3","2","1"
"詹慕斯_FR_B0GRB39S7G_20260522","FR","B0GRB39S7G","詹慕斯","2026-05-22","日常","日常","1","1","",,"1.5","1.4","2","1"
"詹慕斯_FR_B0GRB39S7G_20260523","FR","B0GRB39S7G","詹慕斯","2026-05-23","日常","日常","1","1","3","3","1.5","1.4","2","1"
"詹慕斯_FR_B0GRB39S7G_20260524","FR","B0GRB39S7G","詹慕斯","2026-05-24","日常","日常","1","1","2","2","1.7","1.5","2","2"
"詹慕斯_FR_B0GRB39S7G_20260525","FR","B0GRB39S7G","詹慕斯","2026-05-25","日常","日常","1","1","3","3","1.8","1.6","2","2"
"詹慕斯_FR_B0GRB39S7G_20260526","FR","B0GRB39S7G","詹慕斯","2026-05-26","日常","日常","1","1","",,"1.9","1.7","2","2"
"詹慕斯_FR_B0GRB39S7G_20260527","FR","B0GRB39S7G","詹慕斯","2026-05-27","日常","日常","1","1","1","1","1.9","1.7","2","2"
"詹慕斯_FR_B0GRB39S7G_20260528","FR","B0GRB39S7G","詹慕斯","2026-05-28","日常","日常","1","1","2","2","1.8","1.7","2","2"
"詹慕斯_FR_B0GRB39S7G_20260531","FR","B0GRB39S7G","詹慕斯","2026-05-31","日常","日常","1","1","1","1","1.8","1.7","2","2"
"詹慕斯_FR_B0GRB39S7G_20260601","FR","B0GRB39S7G","詹慕斯","2026-06-01","日常","日常","1","1","3","3","1.8","1.7","2","2"
"詹慕斯_FR_B0GRB39S7G_20260604","FR","B0GRB39S7G","詹慕斯","2026-06-04","日常","日常","1","1","",,"1.8","1.7","2","2"
"詹慕斯_FR_B0GRB39S7G_20260605","FR","B0GRB39S7G","詹慕斯","2026-06-05","日常","日常","1","1","2","2","1.8","1.7","2","2"
"詹慕斯_FR_B0GRB39S7G_20260607","FR","B0GRB39S7G","詹慕斯","2026-06-07","日常","日常","1","1","3","3","1.7","1.6","2","2"
"詹慕斯_FR_B0GRB39S7G_20260609","FR","B0GRB39S7G","詹慕斯","2026-06-09","旺季","旺季","1.2","1.2","2","2","1.8","1.7","2","2"
"詹慕斯_FR_B0GRB39S7G_20260610","FR","B0GRB39S7G","詹慕斯","2026-06-10","旺季","旺季","1.2","1.2","",,"1.8","1.7","2","2"
"詹慕斯_FR_B0GRB39S7G_20260611","FR","B0GRB39S7G","詹慕斯","2026-06-11","旺季","旺季","1.2","1.2","",,"1.8","1.7","2","2"
