"shop_country_asin_date","asin","country","date","old_weighted_sales","new_weighted_sales","difference"
"合计_JP_B0CJVFJMVF_20250221","B0CJVFJMVF","JP","2025-02-21","13.6","15.1","-1.5"
"合计_JP_B0CJVFJMVF_20250222","B0CJVFJMVF","JP","2025-02-22","11.4","14.5","-3.1"
"合计_JP_B0CJVFJMVF_20250223","B0CJVFJMVF","JP","2025-02-23","9.5","13.3","-3.8"
"合计_JP_B0CJVFJMVF_20250224","B0CJVFJMVF","JP","2025-02-24","8.7","12.6","-3.9"
"合计_JP_B0CJVFJMVF_20250225","B0CJVFJMVF","JP","2025-02-25","7.4","11.5","-4.1"
"合计_JP_B0CJVFJMVF_20250226","B0CJVFJMVF","JP","2025-02-26","8.4","11.3","-2.9"
"合计_JP_B0CJVFJMVF_20250330","B0CJVFJMVF","JP","2025-03-30","17.2","15","2.2"
"合计_JP_B0CJVFJMVF_20250331","B0CJVFJMVF","JP","2025-03-31","17.9","15.4","2.5"
"合计_JP_B0CJVFJMVF_20250401","B0CJVFJMVF","JP","2025-04-01","17.4","15.4","2"
"合计_JP_B0CJVFJMVF_20250402","B0CJVFJMVF","JP","2025-04-02","18.3","16.3","2"
"合计_JP_B0CJVFJMVF_20250403","B0CJVFJMVF","JP","2025-04-03","18","16.6","1.4"
"合计_JP_B0CJVFJMVF_20250414","B0CJVFJMVF","JP","2025-04-14","18.5","17","1.5"
"合计_JP_B0CJVFJMVF_20250415","B0CJVFJMVF","JP","2025-04-15","19.1","17.3","1.8"
"合计_JP_B0CJVFJMVF_20250416","B0CJVFJMVF","JP","2025-04-16","19.5","17.7","1.8"
"合计_JP_B0CJVFJMVF_20250417","B0CJVFJMVF","JP","2025-04-17","18.8","17.6","1.2"
"合计_JP_B0CJVFJMVF_20250421","B0CJVFJMVF","JP","2025-04-21","21.8","19.7","2.1"
"合计_JP_B0CJVFJMVF_20250422","B0CJVFJMVF","JP","2025-04-22","25.2","21.4","3.8"
"合计_JP_B0CJVFJMVF_20250423","B0CJVFJMVF","JP","2025-04-23","25.2","21.5","3.7"
"合计_JP_B0CJVFJMVF_20250424","B0CJVFJMVF","JP","2025-04-24","24.1","21.5","2.6"
"合计_JP_B0CJVFJMVF_20250503","B0CJVFJMVF","JP","2025-05-03","22.3","20.9","1.4"
"合计_JP_B0CJVFJMVF_20250504","B0CJVFJMVF","JP","2025-05-04","22.5","21.3","1.2"
"合计_JP_B0CJVFJMVF_20250505","B0CJVFJMVF","JP","2025-05-05","23.3","22","1.3"
"合计_JP_B0CJVFJMVF_20250507","B0CJVFJMVF","JP","2025-05-07","23.1","21.8","1.3"
"合计_JP_B0CJVFJMVF_20250511","B0CJVFJMVF","JP","2025-05-11","19","20.5","-1.5"
"合计_JP_B0CJVFJMVF_20250512","B0CJVFJMVF","JP","2025-05-12","17.5","19.8","-2.3"
"合计_JP_B0CJVFJMVF_20250513","B0CJVFJMVF","JP","2025-05-13","18.5","20.4","-1.9"
"合计_JP_B0CJVFJMVF_20250514","B0CJVFJMVF","JP","2025-05-14","17.4","19.1","-1.7"
"合计_JP_B0CJVFJMVF_20250515","B0CJVFJMVF","JP","2025-05-15","17","18.7","-1.7"
